,COD_IBGE,PESO,MEDIA_MOVEL
0,4305439,0.0,0.36308379598255397
1,4309571,0.8380787459382438,0.8160545466313263
2,3157609,0.7772962015395543,0.6806717506539149
3,2906907,0.0,0.1438472993304257
4,2301901,0.8926668941665591,0.7580529890100958
5,1100015,0.4763966060521497,0.4748675223143177
6,4309605,0.7017934734019088,0.5222307902305123
7,3550803,0.0,0.0
8,3157658,0.8630837959825541,0.496997957557638
9,2301950,0.8146507475495056,0.7954759498698797
10,2907004,0.8331512990172351,0.8011866162518932
11,1100023,0.4799026263024584,0.343863799529053
12,4309654,0.0,0.0
13,3550902,0.0,0.0
14,3157708,0.6660090748753237,0.5547268284455013
15,2907103,0.33460598827106314,0.42689222367795454
16,2302008,0.8113594502076492,0.6380723040852543
17,1100031,0.4685420250569082,0.5368239147683119
18,4309704,0.7899590280276008,0.6525469308985618
19,3551009,0.0,0.0
20,3157807,0.0,0.4014873447126994
21,2907202,0.8617482493179723,0.8425749267805621
22,2302057,0.7952661271593034,0.8091421528362457
23,1100049,0.4671133917104634,0.5616585156862004
24,4309753,0.8268519119245828,0.6376654107261212
25,3551108,0.8630837959825541,0.43154189799127707
26,3157906,0.8630837959825541,0.2733396059382936
27,2907301,0.8617227275886635,0.8441835388462241
28,2302107,0.771060946507332,0.7774315230880446
29,1100056,0.4782959412848183,0.6489459887805754
30,4309803,0.7449613370313612,0.7372968198442797
31,3551207,0.0,0.0
32,2907400,0.9986799292776588,0.8105538552874267
33,3158003,0.7875406635081542,0.18467856861791995
34,2302206,0.8380040431589092,0.821214700666366
35,1100064,0.4804623016907332,0.5026049020040183
36,4309902,0.8415256527353234,0.8569570529152826
37,3551306,0.0,0.0
38,3158102,0.8630837959825541,0.6322732177144694
39,2302305,0.8473827746720738,0.8365816416498312
40,2907509,0.8179271071507074,0.7492262615923541
41,1100072,0.4804623016907332,0.6062834769066361
42,4309951,0.8187539193510526,0.6504902477122139
43,3551405,0.0,0.0
44,3158201,0.5847908007636484,0.44660443372311903
45,2907558,0.8476637422757191,0.7892150907853496
46,2302404,0.8354764340193639,0.7580481130419177
47,1100080,0.4663756646509931,0.5698219392402828
48,4310009,0.6407103248856122,0.5826178058220935
49,3551504,0.0,0.0
50,3158300,0.0,0.1495398361195877
51,2907608,0.8617482493179726,0.7784149159846392
52,2302503,0.7441011904944431,0.5731003589454858
53,1100098,0.4697502869789376,0.4743913111988362
54,4310108,0.9763801825400964,0.0
55,3551603,0.0,0.17261675919651082
56,3158409,0.6724904962840741,0.5368327735387088
57,2302602,0.846907111536552,0.8336015219574919
58,2907707,0.8617482493179726,0.712406329605693
59,1100106,0.9573330987506298,0.39171628018442267
60,4310207,0.3833236276454573,0.7060109681233327
61,3551702,0.0,0.0
62,3158508,0.6936606789316191,0.7139496715766688
63,2302701,0.8466903533596032,0.7270856489677168
64,2907806,0.7747657159550991,0.7924088547108522
65,1100114,0.4804623016907332,0.27454988668041896
66,4310306,0.8380787459382439,0.8219567797823935
67,3551801,0.8630837959825541,0.6923533966321515
68,3158607,0.6660090748753236,0.4485025648913688
69,2302800,0.6497496233023783,0.7260010678785056
70,2907905,0.8333722121247461,0.6910915312309124
71,1100122,0.4658207027924031,0.3637411162661384
72,4310330,0.0,0.0
73,3551900,0.0,0.09609246033814664
74,3158706,0.0,0.21577094899563853
75,2908002,0.8029252788927695,0.6354374047988899
76,2302909,0.7698879758987992,0.7909883354501049
77,1100130,0.477399958621041,0.48033643353614996
78,4310363,0.7769528006862833,0.5226939081261186
79,2908101,0.9986799292776588,0.6834845176251241
80,3158805,0.0,0.7054484955759918
81,3552007,0.8630837959825541,0.36989305542109463
82,2303006,0.6524244556812456,0.7373973145405923
83,1100148,0.4685420250569081,0.5796017306990564
84,4310405,0.6011790340777922,0.6444969592554116
85,3552106,0.8630837959825541,0.45864809227788494
86,3158904,0.7314967074641981,0.6705284173435835
87,2303105,0.9446544406956442,0.8241205573277012
88,2908200,0.6646480064814332,0.42087605225474034
89,1100155,0.4804623016907332,0.2853490612347739
90,4310413,0.635382345869589,0.6885658139170506
91,3552205,0.0,0.0
92,3158953,0.0,0.17261675919651082
93,2908309,0.9986389316061096,0.9101724083230641
